[N-neighbours = 3]
Akurasi KNN : 60.7484076433
Akurasi KNN-Tanimoto : 64.8089171975
Akurasi KNN-GP : 64.8089171975
[N-neighbours = 5]
Akurasi KNN : 61.5445859873
Akurasi KNN-Tanimoto : 64.0127388535
Akurasi KNN-GP : 64.8089171975
[N-neighbours = 7]
Akurasi KNN : 61.0668789809
Akurasi KNN-Tanimoto : 65.4458598726
Akurasi KNN-GP : 66.321656051
[N-neighbours = 9]
Akurasi KNN : 59.7133757962
Akurasi KNN-Tanimoto : 64.1719745223
Akurasi KNN-GP : 64.4108280255
[N-neighbours = 11]
Akurasi KNN : 58.9968152866
Akurasi KNN-Tanimoto : 64.3312101911
Akurasi KNN-GP : 65.8439490446
[N-neighbours = 13]
Akurasi KNN : 57.7229299363
Akurasi KNN-Tanimoto : 65.4458598726
Akurasi KNN-GP : 65.6050955414
[N-neighbours = 15]
Akurasi KNN : 56.9267515924
Akurasi KNN-Tanimoto : 65.525477707
Akurasi KNN-GP : 65.2070063694
[N-neighbours = 17]
Akurasi KNN : 56.5286624204
Akurasi KNN-Tanimoto : 64.6496815287
Akurasi KNN-GP : 64.8885350318
[N-neighbours = 19]
Akurasi KNN : 55.4936305732
Akurasi KNN-Tanimoto : 64.3312101911
Akurasi KNN-GP : 64.2515923567
[N-neighbours = 21]
Akurasi KNN : 54.9363057325
Akurasi KNN-Tanimoto : 64.8885350318
Akurasi KNN-GP : 64.5700636943
[N-neighbours = 23]
Akurasi KNN : 54.1401273885
Akurasi KNN-Tanimoto : 64.2515923567
Akurasi KNN-GP : 64.1719745223
[N-neighbours = 25]
Akurasi KNN : 53.6624203822
Akurasi KNN-Tanimoto : 63.6942675159
Akurasi KNN-GP : 63.7738853503
[N-neighbours = 27]
Akurasi KNN : 54.0605095541
Akurasi KNN-Tanimoto : 63.2961783439
Akurasi KNN-GP : 62.8184713376
[N-neighbours = 29]
Akurasi KNN : 53.1847133758
Akurasi KNN-Tanimoto : 63.8535031847
Akurasi KNN-GP : 62.9777070064
