protectedDiv(sub(sub(d, d), sub(0.5, 4)), add(protectedDiv(a, c), protectedDiv(c, b)))	protectedDiv(protectedDiv(protectedDiv(2, 4), protectedDiv(a, b)), mul(sub(4, d), mul(3, 2)))	sub(3, d)	protectedDiv(sub(add(c, d), protectedDiv(d, a)), mul(mul(0.5, a), protectedDiv(b, 3)))	sub(sub(d, 4), add(0.5, 0.5))	sub(mul(c, 2), add(4, a))	sub(3, a)	mul(protectedDiv(d, 4), sub(c, 0.5))	add(4, d)	add(protectedDiv(sub(a, c), sub(b, d)), mul(add(a, a), sub(d, 2)))	protectedDiv(mul(sub(a, b), add(a, c)), protectedDiv(mul(c, c), mul(0.5, d)))	protectedDiv(sub(a, c), add(d, d))	add(0.5, c)	sub(protectedDiv(d, a), sub(d, b))	sub(b, b)	sub(sub(protectedDiv(b, d), mul(a, 4)), protectedDiv(sub(d, a), mul(a, 0.5)))	protectedDiv(sub(b, a), sub(a, 0.5))	sub(b, c)	mul(protectedDiv(add(c, d), protectedDiv(2, d)), protectedDiv(sub(0.5, 3), protectedDiv(0.5, c)))	add(mul(mul(2, d), add(4, d)), add(protectedDiv(b, a), mul(0.5, b)))
sub(3, sub(0.5, sub(4, a)))	mul(protectedDiv(add(c, d), protectedDiv(2, d)), protectedDiv(a, protectedDiv(0.5, c)))	mul(protectedDiv(add(c, d), protectedDiv(2, d)), protectedDiv(sub(sub(protectedDiv(a, a), protectedDiv(d, a)), 3), protectedDiv(0.5, c)))	sub(3, a)	sub(protectedDiv(d, a), sub(d, b))	mul(protectedDiv(d, protectedDiv(mul(b, b), add(c, a))), sub(c, 0.5))	protectedDiv(mul(sub(a, b), add(a, c)), protectedDiv(mul(c, c), mul(0.5, d)))	add(protectedDiv(2, d), sub(4, 4))	add(0.5, c)	mul(protectedDiv(d, 4), sub(c, 0.5))	protectedDiv(sub(b, a), sub(a, 0.5))	add(4, 0.5)	protectedDiv(sub(b, a), sub(a, 0.5))	protectedDiv(sub(a, c), add(d, d))	sub(protectedDiv(d, a), sub(d, b))	sub(protectedDiv(d, a), sub(d, b))	sub(mul(d, 0.5), a)	sub(sub(protectedDiv(b, d), mul(a, 4)), protectedDiv(sub(d, a), mul(b, 0.5)))	sub(d, b)	protectedDiv(sub(a, c), add(d, b))
add(4, c)	mul(protectedDiv(d, 0.5), sub(c, 0.5))	sub(protectedDiv(add(c, d), protectedDiv(2, d)), sub(d, b))	mul(protectedDiv(d, a), protectedDiv(a, d))	sub(b, sub(d, b))	sub(protectedDiv(d, a), sub(d, b))	protectedDiv(sub(a, c), sub(a, 0.5))	protectedDiv(sub(b, a), add(d, d))	sub(sub(protectedDiv(b, d), add(b, d)), protectedDiv(sub(d, a), mul(b, 0.5)))	sub(3, sub(0.5, sub(4, a)))	mul(c, c)	add(protectedDiv(2, d), sub(0.5, 4))	sub(protectedDiv(d, a), sub(add(b, a), add(0.5, a)))	add(0.5, c)	sub(protectedDiv(d, a), sub(d, b))	protectedDiv(sub(b, a), sub(a, 0.5))	add(0.5, 0.5)	add(4, c)	protectedDiv(sub(b, a), sub(a, a))	protectedDiv(sub(b, 0.5), sub(a, 0.5))
add(d, c)	sub(sub(protectedDiv(b, d), add(b, 4)), protectedDiv(sub(d, a), mul(b, 0.5)))	sub(protectedDiv(d, a), sub(d, b))	mul(protectedDiv(d, a), protectedDiv(a, d))	protectedDiv(sub(b, sub(0.5, sub(4, a))), add(d, d))	sub(3, a)	sub(protectedDiv(d, a), sub(d, b))	mul(protectedDiv(d, a), protectedDiv(a, d))	protectedDiv(protectedDiv(d, a), add(d, d))	mul(sub(b, a), protectedDiv(protectedDiv(mul(b, d), mul(b, d)), d))	sub(protectedDiv(d, a), sub(d, b))	add(0.5, protectedDiv(add(a, d), add(d, b)))	sub(protectedDiv(d, add(sub(b, c), add(c, c))), sub(d, b))	sub(sub(protectedDiv(b, d), add(b, d)), protectedDiv(sub(d, a), mul(b, protectedDiv(b, a))))	protectedDiv(0.5, sub(a, a))	add(sub(b, a), c)	sub(3, mul(b, 2))	add(0.5, c)	add(4, c)	sub(3, sub(0.5, sub(4, a)))
sub(protectedDiv(d, a), sub(d, 4))	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	mul(protectedDiv(d, a), protectedDiv(a, d))	sub(protectedDiv(d, a), sub(d, b))	mul(protectedDiv(sub(d, b), a), protectedDiv(a, d))	sub(protectedDiv(d, a), d)	sub(protectedDiv(b, a), sub(d, b))	mul(sub(d, a), protectedDiv(protectedDiv(mul(b, d), mul(b, d)), d))	protectedDiv(sub(mul(c, 0.5), protectedDiv(b, b)), sub(a, a))	protectedDiv(protectedDiv(d, a), add(d, d))	sub(sub(protectedDiv(b, d), add(b, 4)), protectedDiv(sub(d, a), protectedDiv(a, d)))	mul(protectedDiv(d, a), mul(b, 0.5))	sub(protectedDiv(d, a), a)	mul(protectedDiv(d, a), protectedDiv(sub(d, b), d))	sub(sub(protectedDiv(b, d), add(b, 4)), protectedDiv(sub(d, 3), mul(b, 0.5)))	sub(a, mul(b, 2))	mul(sub(b, a), protectedDiv(add(b, 4), d))	sub(sub(protectedDiv(b, d), protectedDiv(mul(b, d), mul(b, d))), protectedDiv(sub(d, a), mul(b, 0.5)))	sub(protectedDiv(d, a), sub(b, a))	sub(protectedDiv(d, a), sub(d, b))
protectedDiv(protectedDiv(d, a), add(d, d))	mul(sub(b, a), protectedDiv(add(b, 4), d))	sub(sub(protectedDiv(b, add(b, b)), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	sub(sub(protectedDiv(b, d), d), protectedDiv(sub(d, a), mul(b, 0.5)))	sub(a, mul(b, 2))	sub(a, mul(b, 2))	mul(protectedDiv(d, d), protectedDiv(a, d))	mul(protectedDiv(a, a), mul(b, 0.5))	sub(sub(protectedDiv(b, d), add(b, 4)), protectedDiv(sub(d, a), protectedDiv(a, d)))	mul(protectedDiv(mul(protectedDiv(b, d), mul(a, 0.5)), a), mul(b, 0.5))	mul(protectedDiv(sub(d, b), a), protectedDiv(a, d))	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	mul(protectedDiv(d, a), protectedDiv(a, d))	sub(a, mul(mul(sub(d, 0.5), add(b, b)), 2))	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), d))	sub(protectedDiv(d, a), sub(mul(b, 0.5), b))	mul(protectedDiv(d, a), protectedDiv(a, d))	mul(protectedDiv(sub(d, b), a), protectedDiv(a, d))	mul(protectedDiv(d, a), protectedDiv(a, d))	sub(a, mul(protectedDiv(mul(b, b), add(a, d)), 2))
sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), d))	mul(protectedDiv(d, d), protectedDiv(a, d))	0.5	mul(protectedDiv(d, a), protectedDiv(a, d))	mul(protectedDiv(d, d), protectedDiv(d, d))	mul(protectedDiv(a, d), protectedDiv(a, d))	mul(protectedDiv(a, d), mul(b, 0.5))	mul(protectedDiv(d, a), protectedDiv(a, a))	mul(protectedDiv(d, d), protectedDiv(a, d))	mul(protectedDiv(d, d), protectedDiv(a, d))	mul(sub(b, a), protectedDiv(add(b, 4), d))	mul(protectedDiv(d, a), protectedDiv(a, d))	mul(protectedDiv(d, a), protectedDiv(a, d))	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	mul(protectedDiv(d, a), protectedDiv(add(d, a), d))	mul(protectedDiv(sub(d, a), a), protectedDiv(a, d))	mul(sub(b, a), protectedDiv(add(b, 4), d))	mul(sub(b, a), protectedDiv(add(b, 4), d))	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))
mul(protectedDiv(d, d), protectedDiv(a, d))	mul(protectedDiv(d, d), protectedDiv(a, d))	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(d, d))	mul(protectedDiv(mul(0.5, b), a), protectedDiv(a, d))	mul(sub(b, a), protectedDiv(protectedDiv(b, d), d))	sub(sub(add(b, 4), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	mul(protectedDiv(d, a), protectedDiv(protectedDiv(d, d), d))	mul(a, protectedDiv(a, d))	mul(protectedDiv(d, d), protectedDiv(a, protectedDiv(d, a)))	mul(d, protectedDiv(a, d))	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	mul(protectedDiv(d, a), protectedDiv(a, d))	mul(protectedDiv(d, a), protectedDiv(a, d))	mul(sub(b, a), protectedDiv(add(b, 4), d))	mul(protectedDiv(a, b), sub(d, a))	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	mul(protectedDiv(d, a), protectedDiv(add(d, a), d))	mul(protectedDiv(d, d), protectedDiv(a, sub(protectedDiv(b, d), add(b, b))))	sub(d, protectedDiv(sub(d, a), mul(b, 0.5)))
sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	sub(sub(protectedDiv(b, protectedDiv(sub(d, a), mul(b, 0.5))), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	sub(sub(protectedDiv(b, d), add(b, b)), d)	sub(sub(protectedDiv(b, d), add(b, d)), protectedDiv(sub(d, a), mul(b, 0.5)))	sub(sub(protectedDiv(b, b), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	mul(protectedDiv(d, d), d)	sub(sub(protectedDiv(b, protectedDiv(a, d)), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	mul(protectedDiv(d, a), protectedDiv(a, d))	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	sub(sub(protectedDiv(b, sub(protectedDiv(b, 4), protectedDiv(b, a))), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	mul(d, protectedDiv(add(d, a), d))	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(protectedDiv(d, a), a), mul(b, 0.5)))	sub(sub(protectedDiv(a, d), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	mul(protectedDiv(d, d), protectedDiv(b, d))	mul(protectedDiv(d, a), protectedDiv(add(protectedDiv(mul(a, b), protectedDiv(b, 3)), a), d))	mul(protectedDiv(d, a), protectedDiv(a, d))	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), mul(mul(d, a), 0.5)))
sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	mul(protectedDiv(d, d), d)	sub(sub(protectedDiv(add(b, b), d), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	sub(sub(protectedDiv(b, d), b), protectedDiv(sub(d, a), mul(b, 0.5)))	sub(sub(protectedDiv(b, d), add(b, b)), d)	mul(protectedDiv(protectedDiv(sub(d, a), mul(b, 0.5)), d), d)	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), mul(a, 0.5)))	mul(protectedDiv(d, a), protectedDiv(b, d))	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	sub(sub(protectedDiv(b, d), add(b, b)), c)	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	mul(protectedDiv(d, a), protectedDiv(a, d))	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(protectedDiv(d, a), a), mul(b, 0.5)))	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(d, a), mul(b, 0.5)))	sub(sub(protectedDiv(b, d), add(b, b)), protectedDiv(sub(protectedDiv(d, a), a), mul(b, 0.5)))	sub(a, protectedDiv(sub(d, a), mul(b, 0.5)))
