mul(c, 0.5)	protectedDiv(add(mul(c, 4), mul(b, b)), protectedDiv(sub(d, d), sub(c, b)))	add(protectedDiv(add(2, b), sub(b, a)), add(sub(2, c), add(4, b)))	protectedDiv(mul(mul(a, 2), protectedDiv(c, a)), sub(sub(d, 0.5), mul(0.5, 3)))	protectedDiv(mul(2, c), protectedDiv(a, d))	sub(protectedDiv(sub(a, 4), add(0.5, b)), sub(sub(a, b), mul(b, c)))	add(add(mul(c, 0.5), protectedDiv(2, d)), protectedDiv(add(b, 3), mul(c, 0.5)))	protectedDiv(add(mul(a, c), protectedDiv(0.5, a)), protectedDiv(mul(c, a), mul(a, 0.5)))	protectedDiv(4, 0.5)	add(mul(protectedDiv(a, 0.5), protectedDiv(d, d)), mul(mul(d, b), protectedDiv(a, d)))	protectedDiv(mul(3, a), protectedDiv(b, a))	add(sub(c, b), sub(d, 0.5))	protectedDiv(sub(sub(0.5, c), mul(c, 0.5)), mul(add(3, d), add(a, a)))	sub(mul(add(c, d), protectedDiv(4, d)), add(protectedDiv(a, b), protectedDiv(b, d)))	add(add(mul(c, a), protectedDiv(c, a)), add(protectedDiv(b, 0.5), add(b, d)))	add(protectedDiv(d, c), add(0.5, 0.5))	sub(b, b)	sub(add(add(2, 0.5), mul(a, 0.5)), mul(add(c, 0.5), protectedDiv(4, a)))	sub(mul(c, d), protectedDiv(d, 3))	sub(protectedDiv(0.5, c), sub(a, a))
sub(mul(add(c, d), protectedDiv(4, d)), add(protectedDiv(a, b), 3))	add(add(mul(c, 0.5), protectedDiv(2, d)), protectedDiv(add(b, protectedDiv(b, d)), mul(c, 0.5)))	add(mul(protectedDiv(c, 0.5), protectedDiv(d, d)), mul(mul(d, b), protectedDiv(a, d)))	mul(a, 0.5)	sub(mul(mul(sub(0.5, 0.5), sub(a, b)), d), protectedDiv(d, 3))	sub(protectedDiv(0.5, c), sub(a, a))	add(sub(c, b), sub(d, 0.5))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(add(c, 2), protectedDiv(4, d)), add(protectedDiv(a, b), protectedDiv(b, d)))	sub(add(add(d, 0.5), mul(a, 0.5)), mul(add(c, 0.5), protectedDiv(4, a)))	add(mul(protectedDiv(a, 0.5), protectedDiv(d, d)), mul(mul(d, b), protectedDiv(a, protectedDiv(4, d))))	sub(mul(add(c, d), d), add(protectedDiv(a, b), protectedDiv(b, d)))	add(sub(c, b), sub(d, 0.5))	protectedDiv(mul(2, c), protectedDiv(a, d))	sub(mul(c, d), protectedDiv(d, 3))	protectedDiv(add(mul(c, 4), add(sub(c, c), sub(0.5, c))), protectedDiv(sub(d, d), sub(c, b)))	sub(a, protectedDiv(d, 3))	add(mul(protectedDiv(a, 0.5), protectedDiv(d, d)), mul(mul(d, b), protectedDiv(mul(c, d), d)))	add(sub(c, b), sub(d, protectedDiv(add(d, d), sub(a, b))))	add(sub(c, b), sub(d, 0.5))
add(sub(d, b), sub(d, 0.5))	sub(mul(c, c), protectedDiv(d, 3))	add(mul(protectedDiv(a, 0.5), protectedDiv(d, d)), mul(mul(d, b), protectedDiv(a, protectedDiv(4, d))))	add(mul(protectedDiv(a, 0.5), sub(2, a)), mul(mul(d, b), protectedDiv(mul(c, d), d)))	add(mul(protectedDiv(a, 0.5), protectedDiv(d, d)), mul(mul(d, b), protectedDiv(mul(c, d), d)))	sub(mul(c, d), protectedDiv(d, 3))	sub(protectedDiv(0.5, c), sub(a, a))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(protectedDiv(0.5, c), sub(a, d))	add(mul(protectedDiv(a, 0.5), protectedDiv(d, a)), mul(mul(d, b), protectedDiv(mul(c, d), d)))	sub(mul(c, d), protectedDiv(d, 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	add(mul(protectedDiv(a, 0.5), protectedDiv(d, d)), mul(mul(d, b), protectedDiv(mul(c, d), d)))	sub(mul(add(c, 2), protectedDiv(4, d)), add(protectedDiv(a, b), protectedDiv(b, d)))	sub(mul(c, d), protectedDiv(d, add(c, a)))	sub(mul(c, b), protectedDiv(3, 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(add(c, 2), protectedDiv(4, d)), add(protectedDiv(a, b), protectedDiv(b, d)))	mul(a, 0.5)	protectedDiv(mul(2, c), protectedDiv(a, d))
sub(c, protectedDiv(add(c, a), 3))	add(mul(c, protectedDiv(d, d)), mul(mul(d, b), protectedDiv(a, protectedDiv(4, d))))	add(mul(protectedDiv(a, 0.5), protectedDiv(d, d)), mul(mul(d, b), protectedDiv(mul(c, d), d)))	sub(mul(add(mul(4, 0.5), add(0.5, d)), protectedDiv(4, d)), add(protectedDiv(a, b), protectedDiv(b, d)))	sub(mul(c, d), protectedDiv(add(mul(4, d), a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	add(mul(protectedDiv(a, 0.5), protectedDiv(d, d)), mul(add(c, a), protectedDiv(mul(c, d), d)))	sub(mul(c, d), protectedDiv(mul(d, b), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(d, 3))	sub(mul(3, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), c))	add(mul(protectedDiv(a, 0.5), 0.5), mul(mul(d, b), protectedDiv(a, protectedDiv(4, d))))	sub(mul(c, d), protectedDiv(d, 3))	sub(mul(add(c, 2), protectedDiv(4, d)), add(protectedDiv(a, b), protectedDiv(b, d)))	sub(mul(add(c, 2), protectedDiv(4, d)), add(protectedDiv(a, b), protectedDiv(b, d)))	sub(mul(c, d), d)	sub(mul(c, protectedDiv(add(c, a), 3)), protectedDiv(add(c, a), 3))	sub(sub(c, 3), protectedDiv(a, d))	sub(mul(add(c, 2), protectedDiv(4, d)), 2)
add(mul(protectedDiv(a, 0.5), protectedDiv(d, d)), mul(mul(d, b), protectedDiv(mul(c, d), d)))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), add(sub(a, 4), mul(b, c)))	add(mul(protectedDiv(a, 0.5), protectedDiv(d, d)), mul(mul(d, b), protectedDiv(mul(c, protectedDiv(sub(a, d), sub(c, a))), d)))	add(mul(c, protectedDiv(d, d)), c)	sub(mul(mul(mul(d, b), protectedDiv(a, protectedDiv(4, d))), d), protectedDiv(d, 3))	sub(mul(c, d), protectedDiv(add(c, a), c))	sub(mul(3, 0.5), protectedDiv(add(c, a), 3))	sub(a, protectedDiv(d, 3))	sub(mul(c, d), protectedDiv(add(c, mul(c, d)), 3))	sub(mul(c, 2), protectedDiv(0.5, 3))	sub(mul(add(c, d), protectedDiv(4, d)), add(protectedDiv(a, b), protectedDiv(b, d)))	sub(mul(c, d), protectedDiv(sub(c, c), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, protectedDiv(d, 3)), protectedDiv(add(c, a), c))	sub(mul(c, d), d)	sub(a, d)	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(add(a, 0.5), a), 3))
sub(mul(c, d), protectedDiv(add(c, a), a))	sub(mul(c, protectedDiv(d, 3)), protectedDiv(add(c, 3), c))	sub(mul(c, d), add(sub(a, 4), mul(b, c)))	sub(a, protectedDiv(a, 3))	sub(mul(c, d), protectedDiv(a, 3))	sub(mul(c, d), protectedDiv(add(c, add(c, a)), 3))	add(mul(protectedDiv(a, 0.5), protectedDiv(d, d)), mul(mul(d, b), protectedDiv(mul(c, d), d)))	add(0.5, b)	add(mul(protectedDiv(a, 0.5), protectedDiv(d, d)), mul(mul(d, b), protectedDiv(mul(c, protectedDiv(sub(a, d), sub(c, a))), d)))	sub(mul(c, d), add(sub(a, 4), mul(b, c)))	sub(mul(c, d), protectedDiv(add(c, 2), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(sub(d, a), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, mul(c, d)), 3))	sub(mul(c, d), d)	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, protectedDiv(d, 3)), protectedDiv(add(c, a), c))	sub(mul(c, mul(c, d)), protectedDiv(add(c, a), 3))	sub(d, protectedDiv(add(c, a), 3))
sub(mul(c, d), protectedDiv(add(c, a), 3))	add(mul(protectedDiv(a, 0.5), protectedDiv(d, d)), mul(mul(d, b), protectedDiv(mul(c, d), d)))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(d, protectedDiv(add(c, a), 3))	sub(mul(c, d), add(sub(a, 4), mul(b, c)))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, protectedDiv(d, 3)), protectedDiv(add(c, a), c))	sub(mul(c, protectedDiv(d, 3)), protectedDiv(add(c, a), c))	sub(mul(c, d), protectedDiv(add(c, 3), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(d, protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(d, protectedDiv(add(c, a), 3))	sub(mul(c, sub(mul(d, a), add(c, b))), add(sub(a, 4), mul(b, c)))	sub(mul(c, d), protectedDiv(add(c, mul(c, d)), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), add(sub(a, 4), mul(b, c)))	sub(mul(c, d), protectedDiv(add(c, mul(c, d)), 3))
sub(mul(c, d), protectedDiv(add(c, a), protectedDiv(2, d)))	sub(mul(c, d), add(sub(a, 4), mul(b, c)))	sub(mul(c, c), protectedDiv(add(c, a), 3))	sub(mul(d, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(3, d), 3))	sub(d, protectedDiv(add(c, a), c))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), add(sub(a, 4), mul(b, c)))	sub(mul(mul(c, d), d), protectedDiv(add(c, a), 3))	sub(c, protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, 4), 3))	sub(mul(c, d), add(sub(a, a), mul(b, c)))	sub(3, protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), mul(c, d)))	sub(mul(c, d), protectedDiv(b, 3))	add(mul(protectedDiv(a, 0.5), protectedDiv(d, d)), mul(mul(d, add(c, 3)), protectedDiv(mul(c, d), d)))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))
sub(mul(c, d), protectedDiv(add(c, a), mul(c, d)))	sub(3, protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), c)	sub(mul(c, d), protectedDiv(add(protectedDiv(add(c, a), 3), a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), add(sub(a, 4), mul(b, add(mul(c, d), add(2, 4)))))	sub(mul(c, d), protectedDiv(b, 3))	sub(mul(c, c), protectedDiv(add(c, a), 3))	sub(mul(d, d), protectedDiv(b, 3))	sub(mul(c, d), protectedDiv(add(c, a), mul(c, d)))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(c, protectedDiv(add(c, a), 3))	sub(mul(d, d), protectedDiv(add(sub(sub(3, a), add(0.5, 0.5)), a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(mul(d, add(c, 3)), protectedDiv(mul(c, d), d)), protectedDiv(add(c, a), 3))	add(mul(protectedDiv(a, 0.5), protectedDiv(d, d)), mul(c, d))
sub(mul(c, d), c)	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(0.5, 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(d, 3))	sub(mul(c, add(c, a)), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	add(mul(protectedDiv(3, 0.5), protectedDiv(d, d)), mul(c, d))	sub(mul(c, d), protectedDiv(add(c, a), d))	sub(mul(c, d), c)	sub(mul(protectedDiv(add(0.5, a), 3), d), protectedDiv(add(c, a), 3))	sub(sub(protectedDiv(d, c), protectedDiv(a, b)), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(3, protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(mul(d, add(c, 3)), protectedDiv(mul(c, b), a)), protectedDiv(add(c, a), 3))	sub(mul(sub(0.5, 0.5), d), protectedDiv(add(c, d), mul(c, d)))
sub(mul(c, c), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(d, a), 3))	sub(mul(c, c), protectedDiv(add(c, a), 3))	sub(mul(d, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), c)	sub(mul(c, a), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, d), 3))	sub(mul(c, add(c, a)), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, add(c, a)), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(c, protectedDiv(add(c, a), mul(mul(d, d), mul(4, b))))	sub(mul(c, d), protectedDiv(add(mul(c, d), a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	2	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(3, 0.5))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(d, d)), mul(c, d))
