protectedDiv(protectedDiv(add(b, c), sub(a, b)), protectedDiv(add(c, c), add(c, c)))	protectedDiv(sub(add(a, c), protectedDiv(c, b)), add(add(c, a), add(c, a)))	sub(c, c)	sub(protectedDiv(b, b), protectedDiv(b, b))	protectedDiv(a, b)	protectedDiv(sub(protectedDiv(b, a), protectedDiv(a, c)), add(sub(b, c), add(c, c)))	protectedDiv(sub(c, b), add(a, c))	protectedDiv(b, b)	add(protectedDiv(b, c), protectedDiv(b, a))	sub(protectedDiv(a, b), protectedDiv(a, c))	add(sub(a, b), sub(a, a))	add(add(a, c), sub(b, c))	sub(sub(add(c, c), add(b, b)), sub(protectedDiv(c, b), protectedDiv(b, b)))	add(sub(c, c), protectedDiv(c, b))	sub(b, a)	protectedDiv(b, b)	add(sub(add(c, a), sub(a, a)), protectedDiv(sub(b, b), protectedDiv(c, a)))	protectedDiv(protectedDiv(add(a, a), sub(c, b)), add(add(c, b), protectedDiv(a, b)))	sub(c, c)	add(c, a)
protectedDiv(protectedDiv(add(a, a), c), add(add(c, b), protectedDiv(a, b)))	sub(c, sub(b, b))	protectedDiv(protectedDiv(add(b, c), sub(a, b)), protectedDiv(add(c, c), protectedDiv(b, c)))	add(add(c, c), protectedDiv(b, a))	protectedDiv(protectedDiv(add(a, a), sub(c, b)), add(add(c, b), protectedDiv(a, b)))	sub(b, a)	sub(c, c)	sub(c, c)	protectedDiv(protectedDiv(add(a, a), sub(c, b)), add(add(c, b), protectedDiv(a, b)))	protectedDiv(b, b)	protectedDiv(sub(protectedDiv(b, a), protectedDiv(a, c)), add(sub(b, c), add(c, c)))	sub(c, sub(c, c))	protectedDiv(c, b)	sub(c, b)	sub(c, c)	protectedDiv(protectedDiv(add(b, c), sub(a, b)), protectedDiv(add(c, c), add(c, c)))	sub(protectedDiv(b, b), protectedDiv(b, b))	protectedDiv(sub(protectedDiv(b, a), protectedDiv(a, c)), add(sub(b, c), add(c, c)))	sub(c, add(c, b))	protectedDiv(protectedDiv(add(a, a), sub(c, b)), add(c, protectedDiv(a, b)))
sub(c, c)	sub(protectedDiv(b, b), protectedDiv(b, b))	sub(sub(b, b), c)	sub(c, c)	sub(c, sub(b, b))	sub(c, sub(b, b))	sub(c, c)	sub(c, c)	sub(c, c)	protectedDiv(protectedDiv(add(b, c), sub(a, b)), protectedDiv(add(c, c), add(c, c)))	sub(protectedDiv(b, b), protectedDiv(b, b))	sub(a, sub(b, b))	add(add(c, c), protectedDiv(b, a))	sub(c, add(c, b))	add(add(c, c), protectedDiv(b, a))	protectedDiv(c, b)	sub(c, a)	sub(b, c)	sub(b, c)	protectedDiv(c, c)
sub(c, c)	protectedDiv(c, b)	protectedDiv(c, c)	protectedDiv(c, b)	sub(c, sub(sub(b, b), b))	sub(b, b)	sub(c, c)	sub(c, c)	sub(c, sub(b, b))	sub(c, c)	sub(b, sub(b, b))	sub(c, c)	sub(c, sub(b, b))	sub(b, c)	sub(c, c)	sub(c, c)	sub(sub(b, c), c)	sub(c, b)	sub(sub(protectedDiv(c, a), add(c, c)), c)	sub(c, sub(sub(sub(b, a), add(a, b)), b))
sub(c, sub(b, b))	sub(protectedDiv(add(c, b), add(a, b)), c)	add(a, b)	sub(c, c)	sub(c, b)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, sub(sub(c, b), b))	protectedDiv(c, c)	sub(c, c)	sub(c, protectedDiv(b, b))	sub(c, c)	sub(protectedDiv(c, b), c)	sub(c, sub(b, b))	sub(sub(b, b), c)	sub(c, c)
sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, sub(b, b))	sub(c, c)	sub(c, c)	sub(c, sub(b, c))	sub(c, b)	sub(c, c)	sub(c, c)	sub(add(a, b), c)	sub(protectedDiv(add(c, b), c), c)	sub(c, c)	sub(c, c)
sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(b, b)	sub(c, c)	sub(c, c)	sub(c, c)	sub(add(add(c, c), add(c, b)), c)	sub(c, c)	sub(c, protectedDiv(c, a))	sub(c, c)	sub(c, c)	protectedDiv(b, b)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)
sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, add(add(b, c), protectedDiv(c, a)))	sub(c, c)	sub(c, c)	sub(sub(protectedDiv(a, b), sub(c, c)), c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(sub(add(b, a), sub(b, a)), c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, a)
sub(c, c)	sub(protectedDiv(a, a), add(a, c))	sub(c, c)	sub(c, c)	c	sub(a, c)	sub(c, c)	b	protectedDiv(c, b)	sub(c, add(add(a, c), sub(c, a)))	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)
add(c, b)	sub(c, c)	sub(c, c)	sub(protectedDiv(b, a), c)	sub(c, protectedDiv(protectedDiv(a, a), sub(c, c)))	sub(c, c)	sub(c, protectedDiv(add(a, a), add(a, c)))	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)
sub(c, c)	a	add(c, c)	sub(c, add(b, c))	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(add(a, a), c)	sub(c, b)	add(c, c)	sub(c, b)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)
