protectedDiv(sub(b, c), protectedDiv(a, c))	sub(add(a, c), protectedDiv(a, c))	add(sub(a, b), sub(c, b))	sub(c, c)	sub(b, c)
sub(c, c)	sub(add(a, c), protectedDiv(a, c))	add(sub(a, b), sub(c, b))	sub(c, c)	sub(add(a, c), protectedDiv(a, c))
sub(add(a, c), protectedDiv(a, c))	sub(c, c)	sub(c, c)	sub(add(a, c), protectedDiv(a, c))	sub(sub(add(a, b), add(c, c)), c)
c	sub(sub(add(a, b), add(c, protectedDiv(a, a))), c)	sub(sub(add(a, b), add(c, c)), c)	sub(c, c)	sub(c, c)
sub(sub(add(a, b), add(c, c)), c)	sub(c, c)	c	sub(c, c)	sub(sub(add(a, b), add(c, c)), c)
sub(c, c)	sub(c, sub(add(a, b), add(c, c)))	sub(c, c)	sub(c, c)	sub(c, c)
sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, sub(a, a))
sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)
sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)
sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)
sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)	sub(c, c)
