[N-neighbours = 3]
Akurasi KNN : 97.8021978022
Akurasi KNN-Tanimoto : 97.8021978022
Akurasi KNN-GP : 89.010989011
[N-neighbours = 5]
Akurasi KNN : 93.4065934066
Akurasi KNN-Tanimoto : 93.4065934066
Akurasi KNN-GP : 89.010989011
[N-neighbours = 7]
Akurasi KNN : 87.9120879121
Akurasi KNN-Tanimoto : 87.9120879121
Akurasi KNN-GP : 83.5164835165
[N-neighbours = 9]
Akurasi KNN : 87.9120879121
Akurasi KNN-Tanimoto : 86.8131868132
Akurasi KNN-GP : 82.4175824176
[N-neighbours = 11]
Akurasi KNN : 87.9120879121
Akurasi KNN-Tanimoto : 92.3076923077
Akurasi KNN-GP : 86.8131868132
[N-neighbours = 13]
Akurasi KNN : 93.4065934066
Akurasi KNN-Tanimoto : 92.3076923077
Akurasi KNN-GP : 86.8131868132
[N-neighbours = 15]
Akurasi KNN : 92.3076923077
Akurasi KNN-Tanimoto : 92.3076923077
Akurasi KNN-GP : 85.7142857143
[N-neighbours = 17]
Akurasi KNN : 92.3076923077
Akurasi KNN-Tanimoto : 92.3076923077
Akurasi KNN-GP : 90.1098901099
[N-neighbours = 19]
Akurasi KNN : 83.5164835165
Akurasi KNN-Tanimoto : 85.7142857143
Akurasi KNN-GP : 95.6043956044
[N-neighbours = 21]
Akurasi KNN : 83.5164835165
Akurasi KNN-Tanimoto : 90.1098901099
Akurasi KNN-GP : 86.8131868132
[N-neighbours = 23]
Akurasi KNN : 83.5164835165
Akurasi KNN-Tanimoto : 85.7142857143
Akurasi KNN-GP : 86.8131868132
[N-neighbours = 25]
Akurasi KNN : 93.4065934066
Akurasi KNN-Tanimoto : 90.1098901099
Akurasi KNN-GP : 92.3076923077
[N-neighbours = 27]
Akurasi KNN : 89.010989011
Akurasi KNN-Tanimoto : 90.1098901099
Akurasi KNN-GP : 87.9120879121
[N-neighbours = 29]
Akurasi KNN : 92.3076923077
Akurasi KNN-Tanimoto : 90.1098901099
Akurasi KNN-GP : 92.3076923077
