[N-neighbours = 3]
Akurasi KNN : 86.5671641791
Akurasi KNN-Tanimoto : 88.0597014925
Akurasi KNN-GP : 88.0597014925
[N-neighbours = 5]
Akurasi KNN : 87.3134328358
Akurasi KNN-Tanimoto : 89.552238806
Akurasi KNN-GP : 89.552238806
[N-neighbours = 7]
Akurasi KNN : 85.8208955224
Akurasi KNN-Tanimoto : 84.328358209
Akurasi KNN-GP : 84.328358209
[N-neighbours = 9]
Akurasi KNN : 83.5820895522
Akurasi KNN-Tanimoto : 82.0895522388
Akurasi KNN-GP : 82.0895522388
[N-neighbours = 11]
Akurasi KNN : 82.0895522388
Akurasi KNN-Tanimoto : 80.5970149254
Akurasi KNN-GP : 80.5970149254
[N-neighbours = 13]
Akurasi KNN : 76.8656716418
Akurasi KNN-Tanimoto : 81.3432835821
Akurasi KNN-GP : 81.3432835821
[N-neighbours = 15]
Akurasi KNN : 76.1194029851
Akurasi KNN-Tanimoto : 76.1194029851
Akurasi KNN-GP : 76.1194029851
[N-neighbours = 17]
Akurasi KNN : 74.6268656716
Akurasi KNN-Tanimoto : 75.3731343284
Akurasi KNN-GP : 75.3731343284
[N-neighbours = 19]
Akurasi KNN : 73.1343283582
Akurasi KNN-Tanimoto : 73.8805970149
Akurasi KNN-GP : 73.8805970149
[N-neighbours = 21]
Akurasi KNN : 71.6417910448
Akurasi KNN-Tanimoto : 71.6417910448
Akurasi KNN-GP : 71.6417910448
[N-neighbours = 23]
Akurasi KNN : 70.8955223881
Akurasi KNN-Tanimoto : 74.6268656716
Akurasi KNN-GP : 74.6268656716
[N-neighbours = 25]
Akurasi KNN : 71.6417910448
Akurasi KNN-Tanimoto : 73.8805970149
Akurasi KNN-GP : 73.8805970149
[N-neighbours = 27]
Akurasi KNN : 70.8955223881
Akurasi KNN-Tanimoto : 71.6417910448
Akurasi KNN-GP : 71.6417910448
[N-neighbours = 29]
Akurasi KNN : 69.4029850746
Akurasi KNN-Tanimoto : 70.8955223881
Akurasi KNN-GP : 70.8955223881
