[N-neighbours = 3]
Akurasi KNN : 87.3134328358
Akurasi KNN-Tanimoto : 88.0597014925
Akurasi KNN-GP : 85.8208955224
[N-neighbours = 5]
Akurasi KNN : 84.328358209
Akurasi KNN-Tanimoto : 86.5671641791
Akurasi KNN-GP : 83.5820895522
[N-neighbours = 7]
Akurasi KNN : 83.5820895522
Akurasi KNN-Tanimoto : 85.0746268657
Akurasi KNN-GP : 82.0895522388
[N-neighbours = 9]
Akurasi KNN : 83.5820895522
Akurasi KNN-Tanimoto : 83.5820895522
Akurasi KNN-GP : 79.8507462687
[N-neighbours = 11]
Akurasi KNN : 84.328358209
Akurasi KNN-Tanimoto : 82.8358208955
Akurasi KNN-GP : 82.0895522388
[N-neighbours = 13]
Akurasi KNN : 84.328358209
Akurasi KNN-Tanimoto : 81.3432835821
Akurasi KNN-GP : 79.8507462687
[N-neighbours = 15]
Akurasi KNN : 79.8507462687
Akurasi KNN-Tanimoto : 78.3582089552
Akurasi KNN-GP : 78.3582089552
[N-neighbours = 17]
Akurasi KNN : 79.8507462687
Akurasi KNN-Tanimoto : 77.6119402985
Akurasi KNN-GP : 78.3582089552
[N-neighbours = 19]
Akurasi KNN : 73.8805970149
Akurasi KNN-Tanimoto : 78.3582089552
Akurasi KNN-GP : 73.8805970149
[N-neighbours = 21]
Akurasi KNN : 72.3880597015
Akurasi KNN-Tanimoto : 78.3582089552
Akurasi KNN-GP : 73.8805970149
[N-neighbours = 23]
Akurasi KNN : 71.6417910448
Akurasi KNN-Tanimoto : 77.6119402985
Akurasi KNN-GP : 71.6417910448
[N-neighbours = 25]
Akurasi KNN : 72.3880597015
Akurasi KNN-Tanimoto : 76.8656716418
Akurasi KNN-GP : 70.8955223881
[N-neighbours = 27]
Akurasi KNN : 72.3880597015
Akurasi KNN-Tanimoto : 76.1194029851
Akurasi KNN-GP : 71.6417910448
[N-neighbours = 29]
Akurasi KNN : 72.3880597015
Akurasi KNN-Tanimoto : 75.3731343284
Akurasi KNN-GP : 71.6417910448
