[N-neighbours = 3]
Akurasi KNN : 80.5970149254
Akurasi KNN-Tanimoto : 81.3432835821
Akurasi KNN-GP : 79.8507462687
[N-neighbours = 5]
Akurasi KNN : 79.8507462687
Akurasi KNN-Tanimoto : 82.0895522388
Akurasi KNN-GP : 80.5970149254
[N-neighbours = 7]
Akurasi KNN : 77.6119402985
Akurasi KNN-Tanimoto : 78.3582089552
Akurasi KNN-GP : 77.6119402985
[N-neighbours = 9]
Akurasi KNN : 76.8656716418
Akurasi KNN-Tanimoto : 77.6119402985
Akurasi KNN-GP : 77.6119402985
[N-neighbours = 11]
Akurasi KNN : 76.1194029851
Akurasi KNN-Tanimoto : 72.3880597015
Akurasi KNN-GP : 76.1194029851
[N-neighbours = 13]
Akurasi KNN : 76.8656716418
Akurasi KNN-Tanimoto : 73.1343283582
Akurasi KNN-GP : 73.8805970149
[N-neighbours = 15]
Akurasi KNN : 74.6268656716
Akurasi KNN-Tanimoto : 73.1343283582
Akurasi KNN-GP : 73.8805970149
[N-neighbours = 17]
Akurasi KNN : 74.6268656716
Akurasi KNN-Tanimoto : 71.6417910448
Akurasi KNN-GP : 73.1343283582
[N-neighbours = 19]
Akurasi KNN : 70.8955223881
Akurasi KNN-Tanimoto : 72.3880597015
Akurasi KNN-GP : 71.6417910448
[N-neighbours = 21]
Akurasi KNN : 71.6417910448
Akurasi KNN-Tanimoto : 71.6417910448
Akurasi KNN-GP : 71.6417910448
[N-neighbours = 23]
Akurasi KNN : 71.6417910448
Akurasi KNN-Tanimoto : 71.6417910448
Akurasi KNN-GP : 72.3880597015
[N-neighbours = 25]
Akurasi KNN : 72.3880597015
Akurasi KNN-Tanimoto : 72.3880597015
Akurasi KNN-GP : 72.3880597015
[N-neighbours = 27]
Akurasi KNN : 71.6417910448
Akurasi KNN-Tanimoto : 72.3880597015
Akurasi KNN-GP : 72.3880597015
[N-neighbours = 29]
Akurasi KNN : 72.3880597015
Akurasi KNN-Tanimoto : 71.6417910448
Akurasi KNN-GP : 73.1343283582
